date,id,content,url
2023-05-05 16:50:29+00:00,1654529008518717441,@MorpheusCentral Thats a sexy car.,https://twitter.com/Cobratate/status/1654529008518717441
2023-05-05 15:58:31+00:00,1654515927965114369,GM https://t.co/Gck1kxJny6,https://twitter.com/Cobratate/status/1654515927965114369
2023-05-05 14:42:24+00:00,1654496773727977473,@mataneven Lasan,https://twitter.com/Cobratate/status/1654496773727977473
2023-05-05 12:15:13+00:00,1654459731929440258,@todayyearsoldig Dumb,https://twitter.com/Cobratate/status/1654459731929440258
2023-05-05 11:23:01+00:00,1654446598124892160,@RyLiberty @FreshandFitPod https://t.co/8yh5YnZiVL,https://twitter.com/Cobratate/status/1654446598124892160
2023-05-05 09:31:24+00:00,1654418506010509313,"Star Wars is the ultimate Matrix minded garbage.

Find somebody who likes Star Wars, ask if they have the vax and watch them reply

""WHAT DOES THAT HAVE TO DO WITH ANYTHING OMG!? ARE YOU A VAX DENIER? OMG

OMG THE DEATH STAR OMG COVID OMG""",https://twitter.com/Cobratate/status/1654418506010509313
2023-05-05 09:18:26+00:00,1654415245308297222,"Never seen Star Wars. 

None of them. 

Never will. 

“Omg you’re missing out”

Maybe. 

You’re missing out on being a multi-millionaire. 

Keep your movie. https://t.co/aXImexb4cd",https://twitter.com/Cobratate/status/1654415245308297222
2023-05-05 08:17:36+00:00,1654399935562027008,"Orthodox southpaw orthodox. 

5 years retired and I still miss fighting. 

Gona miss it forever. 

Guess I’ll just have to crack the matrix have 20 sons and be a billionaire instead. 😞 https://t.co/Gfv6j2CRV9",https://twitter.com/Cobratate/status/1654399935562027008
2023-05-05 07:08:49+00:00,1654382626239651841,"GM

https://t.co/YR1wlSjfDy",https://twitter.com/Cobratate/status/1654382626239651841
2023-05-05 06:55:28+00:00,1654379265935265794,https://t.co/fKWDnjHIPe,https://twitter.com/Cobratate/status/1654379265935265794
2023-05-04 20:14:12+00:00,1654217886838185984,"I’ve been in positions when the only thing that kept me alive was my willingness to resist absolutely.

I’ve had ATTEMPTS on my life.

I’ve been stabbed. I carry the scar.

“How do you beat a knife”

KNIVES CHANGE. SITUATIONS CHANGE. YOU FIGHT.",https://twitter.com/Cobratate/status/1654217886838185984
2023-05-04 20:14:12+00:00,1654217885231841281,"Later that night I was practicing chess with Dad.

We did 3 hours a day.

My king was fucked. A losing position.

I saw one move, a gambit. That I couldn’t fully calculate.

Should I sack the knight? I asked.

“What happens if you lose?”

I die. I replied.

“THEN FIGHT”",https://twitter.com/Cobratate/status/1654217885231841281
2023-05-04 20:14:11+00:00,1654217883629543425,"And what if I lose? I asked.

Dad put his whiskey glass down and stood up.

Towering over me like a giant.

“When you lose a fight in the real world... YOU DIE.

Are you ready to die, son?”

No. I replied. Firmly.

“Then fight” he said. And sat back down at the chessboard.",https://twitter.com/Cobratate/status/1654217883629543425
2023-05-04 20:14:11+00:00,1654217881985458182,"When I got home I asked Dad:

Dad. How do I get out of a headlock?

Dad was a little drunk, playing chess on the living room floor.

“YOU FIGHT” he screamed.

Yes but how? I asked.

“HEADLOCKS change. Situations change. There is no single answer besides FIGHT son”",https://twitter.com/Cobratate/status/1654217881985458182
2023-05-04 20:14:11+00:00,1654217880353792003,"I remember getting in a fight in the schoolyard when I was young.

The bigger kid got me in one of those schoolyard headlocks.

I was wrestling with him before managing to grab his pants and trip him up.

We both went to the floor and the teacher split us up.",https://twitter.com/Cobratate/status/1654217880353792003
2023-05-04 16:13:15+00:00,1654157248967344133,GM. https://t.co/AzFoQ3Syvq,https://twitter.com/Cobratate/status/1654157248967344133
2023-05-04 14:24:08+00:00,1654129788624289792,"3.

You are exactly where you deserve to be.

Change who you are and you will change how you live.",https://twitter.com/Cobratate/status/1654129788624289792
2023-05-04 14:02:39+00:00,1654124383982751744,"“That Allah may reward the truthful for their truth and punish the hypocrites if He wills or accept their repentance” 
 
(Al-Ahzab: 24) https://t.co/DKrmcXKvT8",https://twitter.com/Cobratate/status/1654124383982751744
2023-05-04 13:13:58+00:00,1654112128654102529,https://t.co/nQq79EOii1,https://twitter.com/Cobratate/status/1654112128654102529
2023-05-04 12:48:20+00:00,1654105678108057600,"GM

https://t.co/vhxT1qSQgf",https://twitter.com/Cobratate/status/1654105678108057600
2023-05-04 12:28:50+00:00,1654100773192491009,"I believe that men have the sacred duty to approach everything in life from a position of strength

Tenet 16

https://t.co/dmwSimWidB",https://twitter.com/Cobratate/status/1654100773192491009
2023-05-04 09:36:56+00:00,1654057512679735309,GM. https://t.co/2ImIM0Y8FA,https://twitter.com/Cobratate/status/1654057512679735309
2023-05-03 18:40:01+00:00,1653831796302159897,@AltcoinGordon I mean every word.,https://twitter.com/Cobratate/status/1653831796302159897
2023-05-03 18:29:22+00:00,1653829114065813505,"2.

Every action you take is molding who you are as a person. 
 
Every time that you sleep in. 
 
Every time you are undisciplined, you are training yourself that it’s okay. 
 
A downward spiral towards mediocrity.",https://twitter.com/Cobratate/status/1653829114065813505
2023-05-03 17:59:23+00:00,1653821569775423488,If god isnt real then why is life so amazing and why am I so full of love?,https://twitter.com/Cobratate/status/1653821569775423488
2023-05-03 17:35:33+00:00,1653815570955894784,https://t.co/ForipyVoex,https://twitter.com/Cobratate/status/1653815570955894784
2023-05-03 15:07:10+00:00,1653778229755256832,"@DailyLoud Hes fucked. Serbian solitary forever. Not even a bed. A hole in the ground. I can tell you all about East euro prison. 

Its worse than hell.

General pop in serbia are gangsters but christian men, strong family values. Theyd kill him.

He will never see a human face ever again.",https://twitter.com/Cobratate/status/1653778229755256832
2023-05-03 12:50:49+00:00,1653743916888236035,@TopGirlKeiko Russia has been playing nice the entire time. Nobody understands that... yet.,https://twitter.com/Cobratate/status/1653743916888236035
2023-05-03 12:45:13+00:00,1653742508310929408,@JwUchiha No risk no reward.,https://twitter.com/Cobratate/status/1653742508310929408
2023-05-03 12:35:49+00:00,1653740141838491648,We a talk havfa tell man fi stop chat,https://twitter.com/Cobratate/status/1653740141838491648
2023-05-03 10:50:49+00:00,1653713718365003778,@ksorbs Kevins feeling optimistic today.,https://twitter.com/Cobratate/status/1653713718365003778
2023-05-03 10:37:47+00:00,1653710438524223488,"In todays love letters - 

Of course they sell anti court case shower gel in LA. 😂

Worth a try. https://t.co/TNAHGeHOXp",https://twitter.com/Cobratate/status/1653710438524223488
2023-05-03 10:06:52+00:00,1653702657482141696,"Post Vice destruction, the irrelevant MSM journos are caught in a conundrum.

They need to do articles on me, or they dont get any views at all, but what if I do to them what I did to Matt?

What if I have a new dastardly plan. What if I have endless plans. What if im a feared opponent in any realm of human endeavour?

Everyone knows the MSM are scum, but they hide behind publications. Having faces and identities tied to their absolute lack of morality scares them.

These people attack from the shadows and arnt used to being counter attacked.

Terrified, dozens of journos are emailing me trying to be my friend. Saying they actually agree with what I say.

That Im ""misunderstood"".

Theyre promising to stop lying about me and tell the truth if I dont destroy them but allow them their clicks.

They will even mention my charitable acts for the first time EVER. 

Its a shame they had no intention of telling the truth about my character before.

Clowns. The MSM NEEDS ME for views. I dont need them.

I own the internet, Im forever trending, Im the most popular and topical man on the planet.

I have broken the Matrix.

#TopG",https://twitter.com/Cobratate/status/1653702657482141696
2023-05-02 18:58:00+00:00,1653473934459715601,@patrickbetdavid @TuckerCarlson @ValuetainmentTV G,https://twitter.com/Cobratate/status/1653473934459715601
2023-05-02 18:55:03+00:00,1653473191954661386,"Vice did a hit piece on me... 

So I did a piece back showing just how desperate these scum are.

Welcome to D.N.G, a TATE DOCUMENTARY.
https://t.co/B34lkXbWbu https://t.co/wiaSfFPHwO",https://twitter.com/Cobratate/status/1653473191954661386
2023-05-02 17:23:21+00:00,1653450112645857280,@BronzeBomber Better to be judged by 12 than carried by 6 my G.,https://twitter.com/Cobratate/status/1653450112645857280
2023-05-02 08:22:49+00:00,1653314082487795714,"GM

https://t.co/OjH8Wrh5F1",https://twitter.com/Cobratate/status/1653314082487795714
2023-05-02 07:50:15+00:00,1653305889963618305,"I believe in emotional control and the vital need to become disciplined and professional in all things

Tenet 15

https://t.co/0Vns79tzbn",https://twitter.com/Cobratate/status/1653305889963618305
2023-05-02 05:26:32+00:00,1653269722530562048,@SecGranholm 🦆,https://twitter.com/Cobratate/status/1653269722530562048
2023-05-02 04:38:42+00:00,1653257683233808384,@SameeraKhan 🌈,https://twitter.com/Cobratate/status/1653257683233808384
2023-05-02 04:20:02+00:00,1653252985869172739,"My unmatched perspicacity, coupled with sheer indefatigability makes me a FEARED OPPONENT IN ANY REALM OF HUMAN ENDEAVOUR",https://twitter.com/Cobratate/status/1653252985869172739
2023-05-02 04:19:31+00:00,1653252855363403782,"Not many people know, that I actually did my own documentary on Vice.

Everybody knows about the hitpiece they did on me...

But what about the piece i did on them?

Theres a second documentary. 

Vice x Tate Part 2.

I was saving it... but 20,000 RTS and ill release it today. :)",https://twitter.com/Cobratate/status/1653252855363403782
2023-05-02 04:11:19+00:00,1653250792126660615,#ViceAreBrokies,https://twitter.com/Cobratate/status/1653250792126660615
2023-05-02 04:10:17+00:00,1653250531207393280,@disclosetv Brokies.,https://twitter.com/Cobratate/status/1653250531207393280
